country_code,country_name,app_name,description_preview,url,available
US,United States,WeChat,WeChat is more than a messaging and social media a...,https://play.google.com/store/apps/details?id=com.tencent.mm&gl=US,True
CN,China,WeChat,WeChat is more than a messaging and social media a...,https://play.google.com/store/apps/details?id=com.tencent.mm&gl=CN,True
JP,Japan,WeChat,WeChat is more than a messaging and social media a...,https://play.google.com/store/apps/details?id=com.tencent.mm&gl=JP,True
KR,Korea,WeChat,WeChat is more than a messaging and social media a...,https://play.google.com/store/apps/details?id=com.tencent.mm&gl=KR,True
GB,United Kingdom,WeChat,WeChat is more than a messaging and social media a...,https://play.google.com/store/apps/details?id=com.tencent.mm&gl=GB,True
DE,Germany,WeChat,WeChat is more than a messaging and social media a...,https://play.google.com/store/apps/details?id=com.tencent.mm&gl=DE,True
FR,France,WeChat,WeChat is more than a messaging and social media a...,https://play.google.com/store/apps/details?id=com.tencent.mm&gl=FR,True
