用户名,粉丝数量,视频数量,用户简介
扑克脸-电影解说,1271,70,打造全网各种剧集解说，想听哪个剧欢迎留言
船长电影解说哦,1249,12,
野人电影解说-,1233,454,
熊二电影解说,1232,28,感谢平台！持续更新各种电影！喜欢什么电影可以评论区告诉我！
康哥电影解说,1216,93,
wo电影解说,1184,1146,互赞互关
可莉电影解说,1170,178,可莉电影解说
时代影视电影解说,1128,546,
蓝莓电影解说,1128,300,
光子电影解说,1101,38,感谢官方，感谢关注，有关必回每日更新原创作品，期待您的光临！
旧梦电影解说,1075,82,感谢关注感谢平台❤️
醉梦电影解说,1068,85,
Rex电影解说,1045,38,侵权请联系删除
草根电影解说,1038,191,
小破孩电影解说,1036,25,这个家伙很懒，什么也没留下！
沐呵电影解说,990,23,
啊杰电影解说,975,236,
挚爱电影解说,958,54,喜欢的关注一下.
谵滕电影解说,954,157,小小up主，剪剪各种视频，多谢b站提供一个这么友爱的平台
小杰电影解说jx,938,55,同样的影视，二样的解说，精彩片段影视分享
小怪兽电影解说,929,218,用心带来精彩的解说与影评喜欢的朋友长按点赞，顺便评论这样我的电影会被更多喜欢恐怖片的人发现
老黄的电影解说,923,97,
小儛电影解說,915,594,
小杰电影解说xj,911,74,影视解说剪辑，同样的电影不一样的解答
小默电影解说o,896,410,
小空电影解说,818,35,
大冰电影解说,788,1009,
茶余电影解说互关,786,28,
Mk电影解说,783,47,
叭叭电影解说,765,1607,好电影可以改变人生
型男电影解说,753,16,欢迎关注型男电影解说
山竹讲电影解说,743,192,
子航电影解说,739,110,赵钱孙李，周吴郑王大家好，我是陈子航加关注，更多精彩内容为您呈现
阿梦电影解说,732,24,喜欢搞笑的电影解说人，解说尽力遵循电影本身，解说不是胡说，大家如果喜欢看就关注下吧。
亿彤彤电影解说,720,17,
小杰电影解说xj,911,74,影视解说剪辑，同样的电影不一样的解答
小默电影解说o,896,410,
小空电影解说,818,35,
大冰电影解说,788,1009,
茶余电影解说互关,786,28,
Mk电影解说,783,47,
叭叭电影解说,765,1607,好电影可以改变人生
型男电影解说,753,16,欢迎关注型男电影解说
山竹讲电影解说,743,192,
子航电影解说,739,110,赵钱孙李，周吴郑王大家好，我是陈子航加关注，更多精彩内容为您呈现
阿梦电影解说,732,24,喜欢搞笑的电影解说人，解说尽力遵循电影本身，解说不是胡说，大家如果喜欢看就关注下吧。
亿彤彤电影解说,720,17,
白舌电影解说,706,87,看电影可以改变人生！
毒舌电影解说-,703,138,
鸡哥电影解说,690,203,滨普味道电影解说
小咪电影解说,659,11,
电影解说窝,649,74,喜欢吻戏的看过来，这里有你喜欢的
